Symbol,Name,Tags
ATVI,Activision Blizzard,Gaming.Top 100
ADBE,Adobe Systems Inc,Top 100.Technology
AMD,Advanced Micro Devices Inc,Top 100.Technology.Semi-Conductors
AET,Aetna Inc,Top 100.Technology.Insurance
GOOGL,Alphabet Inc Class A,Top 100.Technology.Advertising
AMZN,Amazon.com Inc.,Top 100.Technology.Shopping
AAL,American Airlines Group,Top 100.Technology.Airlines
AXP,American Express Co,Top 100.Technology.Banking
AWK,American Water Works Company Inc,Top 100.Technology.Energy
AMP,Ameriprise Financial,Top 100.Technology.Banking
AMGN,Amgen Inc.,Top 100.Technology.Biotechnology
AAPL,Apple Inc.,Top 100.Technology.Computers
AMAT,Applied Materials Inc.,Top 100.Technology.Materials
T,AT&T Inc.,Top 100.Technology.Network
ADSK,Autodesk Inc.,Top 100.Technology
AZO,AutoZone Inc,Top 100.Technology.Automotive
BAC,Bank of America Corp,Top 100.Technology.Banking
BRK.B,Berkshire Hathaway,Top 100.Technology.Banking
BBY,Best Buy Co. Inc.,Top 100.Technology.Shopping
BA,Boeing Company,Top 100.Technology.Airlines
BSX,Boston Scientific,Top 100.Technology.Science
AVGO,Broadcom,Top 100.Technology.Network
CHRW,C. H. Robinson Worldwide,Top 100.Technology
COF,Capital One Financial,Top 100.Technology.Banking
CAT,Caterpillar Inc.,Top 100.Technology.Construction
CBS,CBS Corp.,Top 100.Technology.Media
CTL,CenturyLink Inc,Top 100.Technology.Media
SCHW,Charles Schwab Corporation,Top 100.Technology.Banking
CVX,Chevron Corp.,Top 100.Technology.Energy
CMG,Chipotle Mexican Grill,Top 100.Technology.Food
CTAS,Cintas Corporation,Top 100.Technology.Banking
CSCO,Cisco Systems,Top 100.Technology.Network
C,Citigroup Inc.,Top 100.Technology.Banking
KO,Coca-Cola Company (The),Top 100.Technology.Food
CMCSA,Comcast Corp.,Top 100.Technology.Network
COST,Costco Wholesale Corp.,Top 100.Technology.Food
CVS,CVS Health,Top 100.Technology.Healthcare
DVA,DaVita Inc.,Top 100.Technology.Healthcare
DAL,Delta Air Lines Inc.,Top 100.Technology.Airlines
DISCA,Discovery Inc. Class A,Top 100.Technology.Banking
DISH,Dish Network,Top 100.Technology.Network
DG,Dollar General,Top 100.Technology.Shopping
DLTR,Dollar Tree,Top 100.Technology.Shopping
DWDP,DowDuPont,Top 100.Technology.Materials
DPS,Dr Pepper Snapple Group,Top 100.Technology.Food
EBAY,eBay Inc.,Top 100.Technology.Shopping
EA,Electronic Arts,Top 100.Technology.Shopping
FB,Facebook Inc.,Top 100.Technology.Media.Advertising
F,Ford Motor,Top 100.Technology.Automotive
GPS,Gap Inc.,Top 100.Technology.Clothing
GD,General Dynamics,Top 100.Technology.Materials
GE,General Electric,Top 100.Technology.Energy
GIS,General Mills,Top 100.Technology.Food
GM,General Motors,Top 100.Technology.Automotive
GS,Goldman Sachs Group,Top 100.Technology.Banking
HOG,Harley-Davidson,Top 100.Technology.Automotive
HPE,Hewlett Packard Enterprise,Top 100.Technology.Materials
HLT,Hilton Worldwide Holdings Inc,Top 100.Technology.Hotels
HD,Home Depot,Top 100.Technology.Materials.Shopping
HON,Honeywell Int'l Inc.,Top 100.Technology.Construction
ILMN,Illumina Inc,Top 100.Technology.Biotechnology
INTC,Intel Corp.,Top 100.Technology.Semi-conductors
INTU,Intuit Inc.,Top 100.Technology.Taxes
JNJ,Johnson & Johnson,Top 100.Technology.Materials
JPM,JPMorgan Chase & Co.,Top 100.Technology.Banking
KR,Kroger Co.,Top 100.Technology.Shopping
LLL,L-3 Communications Holdings,Top 100.Technology
LRCX,Lam Research,Top 100.Technology.Materials
LMT,Lockheed Martin Corp.,Top 100.Technology.Military
LOW,Lowe's Cos.,Top 100.Technology.Shopping
MAR,Marriott Int'l.,Top 100.Technology.Hotels
MA,Mastercard Inc.,Top 100.Technology.Banking
MCD,McDonald's Corp.,Top 100.Technology.Fastfood
MSFT,Microsoft Corp.,Top 100.Technology.Computers
MNST,Monster Beverage,Top 100.Technology.Food
MS,Morgan Stanley,Top 100.Technology.Banking
NFLX,Netflix Inc.,Top 100.Technology.Media
NKE,Nike,Top 100.Technology.Clothing
JWN,Nordstrom,Top 100.Technology.Clothing
NOC,Northrop Grumman Corp.,Top 100.Technology.Military
PYPL,PayPal,Top 100.Technology.Banking
PEP,PepsiCo Inc.,Top 100.Technology.Food
QCOM,QUALCOMM Inc.,Top 100.Technology.Network
CRM,Salesforce.com,Top 100.Technology.Network
STX,Seagate Technology,Top 100.Technology.Network
SHW,Sherwin-Williams,Top 100.Technology.Materials
LUV,Southwest Airlines,Top 100.Technology.Airlines
SBUX,Starbucks Corp.,Top 100.Technology.Food
TXN,Texas Instruments,Top 100.Technology.Computers
HSY,The Hershey Company,Top 100.Technology.Food
MOS,The Mosaic Company,Top 100.Technology.Materials
DIS,The Walt Disney Company,Top 100.Technology.Media
TMO,Thermo Fisher Scientific,Top 100.Technology.Materials
TRIP,TripAdvisor,Top 100.Technology.Travel
VZ,Verizon Communications,Top 100.Technology.Network
V,Visa Inc.,Top 100.Technology.Banking
WMT,Wal-Mart Stores,Top 100.Technology.Shopping
WFC,Wells Fargo,Top 100.Technology.Banking
WDC,Western Digital,Top 100.Technology.Materials
MMM,3M Company,Chemistry.Top 100.Technology.Materials
